ID,COD_UF_A,UF_A,source,NOMEMUN_A,COD_UF_B,UF_B,target,NOMEMUN_B,VAR01,VAR02,VAR03,VAR04,weekly_flow,VAR06,VAR07,VAR08,VAR09,VAR10,VAR11,VAR12,VAR13,VAR14,pij,edge_key,keep_top5,keep
35183053546801,35,SP,3518305,Guararema,35,SP,3546801,Santa Isabel,Integrante de Metrópole (São Paulo),Integrante de Metrópole (São Paulo),4.0,60,0.0,75.0,75.0,-46.0410534647,-23.4152330198,-46.2270128421,-23.3180884997,0.0,Não,0.0666666666666667,1.0,"(3518305, 3546801)",True,True
43156024318507,43,RS,4315602,Rio Grande,43,RS,4318507,São José do Norte,Núcleo de Capital Regional C (Pelotas - Rio Grande),Centro Local,2.0,30,472.0,0.0,472.0,-52.0867696994,-32.0504457927,-52.0342022717,-32.0206091129,0.0,Não,0.0666666666666667,0.0,"(4315602, 4318507)",True,True
41238084320800,41,PR,4123808,Santa Izabel do Oeste,43,RS,4320800,Soledade,Centro Local,Centro de Zona A,59.48,890,0.0,6.0,6.0,-53.4836175359,-25.8143812185,-52.509866171,-28.8277379534,0.0,Não,0.0668314606741573,1.0,"(4123808, 4320800)",True,True
25013022512507,25,PB,2501302,Aroeiras,25,PB,2512507,Queimadas,Centro Local,Integrante de Capital Regional B (Campina Grande),2.75,40,0.0,534.0,534.0,-35.7155929489,-7.5484620227,-35.899433911,-7.36079149993,0.0,Não,0.06875,1.0,"(2501302, 2512507)",True,True
35468013552502,35,SP,3546801,Santa Isabel,35,SP,3552502,Suzano,Integrante de Metrópole (São Paulo),Integrante de Metrópole (São Paulo),6.2,90,0.0,489.0,489.0,-46.2270128421,-23.3180884997,-46.3078104672,-23.5368275001,0.0,Não,0.0688888888888889,1.0,"(3546801, 3552502)",True,True
35414065106752,35,SP,3541406,Presidente Prudente,51,MT,5106752,Pontes e Lacerda,Capital Regional C,Centro de Zona B,110.34,1600,0.0,21.0,21.0,-51.3867655819,-22.1227435,-59.3380018442,-15.2297275715,0.0,Sim,0.0689625,1.0,"(3541406, 5106752)",True,True
15014021505205,15,PA,1501402,Belém,15,PA,1505205,Oeiras do Pará,Núcleo de Metrópole (Belém),Centro Local,50.0,720,8.0,0.0,8.0,-48.4878256878,-1.45984500045,-49.8551061088,-2.00473400017,2.0,Não,0.0694444444444444,0.45950475721260103,"(1501402, 1505205)",True,True
43100094318705,43,RS,4310009,Ibirubá,43,RS,4318705,São Leopoldo,Centro de Zona A,Núcleo de Capital Regional C (Novo Hamburgo/São Leopoldo),21.7,310,0.0,45.0,45.0,-53.0883540195,-28.6276077824,-51.1462345613,-29.7658665426,0.0,Sim,0.07,1.0,"(4310009, 4318705)",True,True
11002055002704,11,RO,1100205,Porto Velho,50,MS,5002704,Campo Grande,Capital Regional B,Núcleo de Capital Regional A (Campo Grande),158.25,2250,0.0,70.0,70.0,-63.8314456543,-8.76889178972,-54.6157435664,-20.4580299876,0.0,Sim,0.0703333333333333,1.0,"(1100205, 5002704)",True,True
43149025107925,43,RS,4314902,Porto Alegre,51,MT,5107925,Sorriso,Núcleo de Metrópole (Porto Alegre),Centro de Zona A,182.97,2590,0.0,30.0,30.0,-51.2286604638,-30.0300367747,-55.7259136753,-12.5517767078,0.0,Sim,0.0706447876447876,1.0,"(4314902, 5107925)",True,True
35322073541406,35,SP,3532207,Narandiba,35,SP,3541406,Presidente Prudente,Centro Local,Capital Regional C,4.25,60,0.0,90.0,90.0,-51.5242398511,-22.4042832003,-51.3867655819,-22.1227435,0.0,Não,0.0708333333333333,1.0,"(3532207, 3541406)",True,True
25013022504009,25,PB,2501302,Aroeiras,25,PB,2504009,Campina Grande,Centro Local,Núcleo de Capital Regional B (Campina Grande),5.0,70,0.0,788.0,788.0,-35.7155929489,-7.5484620227,-35.8838591146,-7.22149703976,0.0,Não,0.0714285714285714,1.0,"(2501302, 2504009)",True,True
29108003550308,29,BA,2910800,Feira de Santana,35,SP,3550308,São Paulo,Núcleo de Capital Regional B (Feira de Santana),Núcleo de Metrópole (São Paulo),120.0,1680,0.0,226.0,226.0,-38.9600330961,-12.2292842522,-46.5703831822,-23.5673865001,2.0,Não,0.0714285714285714,1.0,"(2910800, 3550308)",True,True
23042022930105,23,CE,2304202,Crato,29,BA,2930105,Senhor do Bonfim,Núcleo de Capital Regional C (Juazeiro do Norte - Crato - Barbalha),Centro Subregional B,34.35,480,0.0,28.0,28.0,-39.4083902982,-7.23175278966,-40.1899845396,-10.4567714936,0.0,Não,0.0715625,1.0,"(2304202, 2930105)",True,True
35205093524006,35,SP,3520509,Indaiatuba,35,SP,3524006,Itupeva,Integrante de Capital Regional A (Campinas),Integrante de Centro de Zona A (Jundiaí),4.3,60,0.0,157.0,157.0,-47.2123089399,-23.0816460004,-47.0557011517,-23.1534096262,0.0,Não,0.0716666666666667,1.0,"(3520509, 3524006)",True,True
11001555217203,11,RO,1100155,Ouro Preto do Oeste,52,GO,5217203,Piranhas,Centro de Zona B,Centro Local,207.0,2880,0.0,21.0,21.0,-62.2610551901,-10.723573901,-51.8218013361,-16.4207064408,0.0,Não,0.071875,1.0,"(1100155, 5217203)",True,True
29148023303708,29,BA,2914802,Itabuna,33,RJ,3303708,Paraíba do Sul,Núcleo de Capital Regional B (Ilhéus - Itabuna),Centro Local,100.0,1386,0.0,7.0,7.0,-39.273108952,-14.7890395485,-43.2895444645,-22.1619815423,0.0,Não,0.0721500721500721,1.0,"(2914802, 3303708)",True,True
23042022308104,23,CE,2304202,Crato,23,CE,2308104,Mauriti,Núcleo de Capital Regional C (Juazeiro do Norte - Crato - Barbalha),Centro Local,9.45,130,0.0,45.0,45.0,-39.4083902982,-7.23175278966,-38.7727954377,-7.38739800022,0.0,Não,0.0726923076923077,1.0,"(2304202, 2308104)",True,True
51018035107040,51,MT,5101803,Barra do Garças,51,MT,5107040,Primavera do Leste,Centro Subregional A,Centro de Zona A,18.9,260,0.0,139.0,139.0,-52.2603297567,-15.8887114521,-54.300053259,-15.5522935935,0.0,Sim,0.0726923076923077,1.0,"(5101803, 5107040)",True,True
25046032507507,25,PB,2504603,Conde,25,PB,2507507,João Pessoa,Centro Local,Núcleo de Capital Regional A (João Pessoa),3.3,45,0.0,492.0,492.0,-34.9071513373,-7.26357182708,-34.8733848135,-7.14938202006,0.0,Não,0.0733333333333333,1.0,"(2504603, 2507507)",True,True
43151074317509,43,RS,4315107,Porto Xavier,43,RS,4317509,Santo Ângelo,Centro Local,Centro Subregional A,13.2,180,0.0,15.0,15.0,-55.1395602617,-27.9056898468,-54.2641427982,-28.3019378735,0.0,Sim,0.0733333333333333,1.0,"(4315107, 4317509)",True,True
33020073305554,33,RJ,3302007,Itaguaí,33,RJ,3305554,Seropédica,Integrante de Metrópole (Rio de Janeiro),Integrante de Metrópole (Rio de Janeiro),3.7,50,0.0,1008.0,1008.0,-43.7750406346,-22.8712507687,-43.7019252208,-22.7430110683,0.0,Não,0.074,1.0,"(3302007, 3305554)",True,True
15018081506005,15,PA,1501808,Breves,15,PA,1506005,Prainha,Centro Subregional B,Centro Local,80.0,1080,14.0,0.0,14.0,-50.4808947995,-1.69073650009,-53.4818139411,-1.8056944999,0.0,Não,0.0740740740740741,0.4150668991843061,"(1501808, 1506005)",True,True
41018044113205,41,PR,4101804,Araucária,41,PR,4113205,Lapa,Integrante de Metrópole (Curitiba),Centro Local,4.45,60,0.0,160.0,160.0,-49.4019396966,-25.5916449996,-49.7185958084,-25.7651024848,0.0,Não,0.0741666666666667,1.0,"(4101804, 4113205)",True,True
33008033301900,33,RJ,3300803,Cachoeiras de Macacu,33,RJ,3301900,Itaboraí,Centro Local,Integrante de Metrópole (Rio de Janeiro),5.2,70,0.0,147.0,147.0,-42.6631643571,-22.4675708723,-42.8603434263,-22.7458630173,0.0,Não,0.0742857142857143,1.0,"(3300803, 3301900)",True,True
11001145217203,11,RO,1100114,Jaru,52,GO,5217203,Piranhas,Centro de Zona A,Centro Local,228.0,3050,0.0,21.0,21.0,-62.4762307079,-10.4359487681,-51.8218013361,-16.4207064408,0.0,Não,0.0747540983606557,1.0,"(1100114, 5217203)",True,True
15014511506807,15,PA,1501451,Belterra,15,PA,1506807,Santarém,Centro Local,Capital Regional C,6.0,80,0.0,310.0,310.0,-54.9426747393,-2.64902016974,-54.7185701669,-2.43621332958,0.0,Não,0.075,1.0,"(1501451, 1506807)",True,True
35038023524709,35,SP,3503802,Artur Nogueira,35,SP,3524709,Jaguariúna,Centro Local,Integrante de Capital Regional A (Campinas),4.5,60,0.0,146.0,146.0,-47.1643011506,-22.5713430101,-46.9823434659,-22.7067819579,0.0,Não,0.075,1.0,"(3503802, 3524709)",True,True
41101024111407,41,PR,4110102,Imbituva,41,PR,4111407,Ivaí,Centro Local,Centro Local,4.5,60,0.0,66.0,66.0,-50.5974729666,-25.2306130384,-50.8614257039,-25.0082625828,0.0,Não,0.075,1.0,"(4110102, 4111407)",True,True
41118034121802,41,PR,4111803,Jacarezinho,41,PR,4121802,Ribeirão Claro,Centro de Zona A,Centro Local,3.75,50,0.0,54.0,54.0,-49.9785725342,-23.160116475,-49.7563505189,-23.1962854621,0.0,Não,0.075,1.0,"(4111803, 4121802)",True,True
52011085215405,52,GO,5201108,Anápolis,52,GO,5215405,Ouro Verde de Goiás,Centro Subregional A,Centro Local,3.0,40,0.0,88.0,88.0,-48.9572179022,-16.3288257444,-49.2038676024,-16.2108276548,0.0,Não,0.075,1.0,"(5201108, 5215405)",True,True
23003092302404,23,CE,2300309,Acopiara,23,CE,2302404,Boa Viagem,Centro Local,Centro Local,14.7,195,0.0,21.0,21.0,-39.4557052759,-6.09276199477,-39.7332823429,-5.12574387018,0.0,Não,0.0753846153846154,1.0,"(2300309, 2302404)",True,True
35016083520509,35,SP,3501608,Americana,35,SP,3520509,Indaiatuba,Integrante de Capital Regional A (Campinas),Integrante de Capital Regional A (Campinas),6.45,85,0.0,28.0,28.0,-47.330362926,-22.7408834999,-47.2123089399,-23.0816460004,0.0,Não,0.0758823529411765,1.0,"(3501608, 3520509)",True,True
35285023532405,35,SP,3528502,Mairiporã,35,SP,3532405,Nazaré Paulista,Integrante de Metrópole (São Paulo),Integrante de Metrópole (São Paulo),3.8,50,0.0,24.0,24.0,-46.5901958728,-23.3224593829,-46.4025902146,-23.1786958111,0.0,Não,0.076,1.0,"(3528502, 3532405)",True,True
35052033506003,35,SP,3505203,Bariri,35,SP,3506003,Bauru,Centro de Zona B,Capital Regional C,11.45,150,0.0,26.0,26.0,-48.7415247716,-22.0719779999,-49.083000867,-22.3251224996,0.0,Não,0.0763333333333333,1.0,"(3505203, 3506003)",True,True
35084053525904,35,SP,3508405,Cabreúva,35,SP,3525904,Jundiaí,Integrante de Centro de Zona A (Jundiaí),Núcleo de Centro de Zona A (Jundiaí),4.6,60,0.0,319.0,319.0,-47.1336583733,-23.3126743948,-46.8852739681,-23.187668,0.0,Não,0.0766666666666667,1.0,"(3508405, 3525904)",True,True
43187054320107,43,RS,4318705,São Leopoldo,43,RS,4320107,Sarandi,Núcleo de Capital Regional C (Novo Hamburgo/São Leopoldo),Centro de Zona A,23.05,300,0.0,123.0,123.0,-51.1462345613,-29.7658665426,-52.9254610593,-27.9435951775,0.0,Sim,0.0768333333333333,1.0,"(4318705, 4320107)",True,True
35252013525904,35,SP,3525201,Jarinu,35,SP,3525904,Jundiaí,Centro Local,Núcleo de Centro de Zona A (Jundiaí),3.85,50,0.0,126.0,126.0,-46.7382709358,-23.1030624996,-46.8852739681,-23.187668,0.0,Não,0.077,1.0,"(3525201, 3525904)",True,True
35013013541505,35,SP,3501301,Álvares Machado,35,SP,3541505,Presidente Venceslau,Centro Local,Centro de Zona B,7.35,95,0.0,65.0,65.0,-51.4687972729,-22.0777789949,-51.840258805,-21.8759395049,0.0,Não,0.0773684210526316,1.0,"(3501301, 3541505)",True,True
42020084204608,42,SC,4202008,Balneário Camboriú,42,SC,4204608,Criciúma,Centro Subregional B,Capital Regional C,20.89,270,0.0,72.0,72.0,-48.6346174766,-26.9918186055,-49.365939559,-28.6735722527,0.0,Sim,0.0773703703703704,1.0,"(4202008, 4204608)",True,True
35398063546801,35,SP,3539806,Poá,35,SP,3546801,Santa Isabel,Integrante de Metrópole (São Paulo),Integrante de Metrópole (São Paulo),6.2,80,0.0,489.0,489.0,-46.3462203886,-23.528626568,-46.2270128421,-23.3180884997,0.0,Não,0.0775,1.0,"(3539806, 3546801)",True,True
52117015215702,52,GO,5211701,Jandaia,52,GO,5215702,Palmeiras de Goiás,Centro Local,Centro Local,3.11,40,0.0,21.0,21.0,-50.148007636,-17.0494211397,-49.922787129,-16.8069880062,0.0,Não,0.07775,1.0,"(5211701, 5215702)",True,True
13026031302900,13,AM,1302603,Manaus,13,AM,1302900,Maués,Núcleo de Metrópole (Manaus),Centro Local,70.0,900,18.0,0.0,18.0,-60.0233351809,-3.13469149092,-57.7150343863,-3.38642792661,0.0,Não,0.0777777777777778,0.2587986145396269,"(1302603, 1302900)",True,True
23003092307403,23,CE,2300309,Acopiara,23,CE,2307403,Jucás,Centro Local,Centro Local,7.8,100,0.0,7.0,7.0,-39.4557052759,-6.09276199477,-39.5267762438,-6.52254927313,0.0,Não,0.078,1.0,"(2300309, 2307403)",True,True
23054072307106,23,CE,2305407,Icó,23,CE,2307106,Jardim,Centro de Zona A,Centro Local,24.2,310,0.0,28.0,28.0,-38.8630851785,-6.40303125189,-39.2841644573,-7.58553646524,0.0,Não,0.0780645161290323,1.0,"(2305407, 2307106)",True,True
35060033546405,35,SP,3506003,Bauru,35,SP,3546405,Santa Cruz do Rio Pardo,Capital Regional C,Centro de Zona B,6.25,80,0.0,88.0,88.0,-49.083000867,-22.3251224996,-49.6246088692,-22.9057225004,0.0,Não,0.078125,1.0,"(3506003, 3546405)",True,True
51033535217203,51,MT,5103353,Confresa,52,GO,5217203,Piranhas,Centro de Zona B,Centro Local,127.0,1620,0.0,7.0,7.0,-51.5710336177,-10.6407305773,-51.8218013361,-16.4207064408,0.0,Não,0.0783950617283951,1.0,"(5103353, 5217203)",True,True
29165002927002,29,BA,2916500,Itapicuru,29,BA,2927002,Rio Real,Centro Local,Centro de Zona B,4.72,60,0.0,6.0,6.0,-38.2186123754,-11.3109527009,-37.9335777747,-11.4849354252,0.0,Não,0.0786666666666667,1.0,"(2916500, 2927002)",True,True
23043502311702,23,CE,2304350,Forquilha,23,CE,2311702,Reriutaba,Centro Local,Centro Local,11.95,151,0.0,14.0,14.0,-40.2587689983,-3.79895774281,-40.5846120032,-4.14156760096,0.0,Não,0.0791390728476821,1.0,"(2304350, 2311702)",True,True
42020084218707,42,SC,4202008,Balneário Camboriú,42,SC,4218707,Tubarão,Centro Subregional B,Centro Subregional A,15.87,200,0.0,66.0,66.0,-48.6346174766,-26.9918186055,-49.0052680775,-28.4800339476,0.0,Sim,0.07935,1.0,"(4202008, 4218707)",True,True
23042022311306,23,CE,2304202,Crato,23,CE,2311306,Quixadá,Núcleo de Capital Regional C (Juazeiro do Norte - Crato - Barbalha),Centro Subregional A,38.2,480,0.0,84.0,84.0,-39.4083902982,-7.23175278966,-39.0117446758,-4.96370000035,0.0,Não,0.0795833333333333,1.0,"(2304202, 2311306)",True,True
52117015221403,52,GO,5211701,Jandaia,52,GO,5221403,Trindade,Centro Local,Integrante de Metrópole (Goiânia),7.96,100,0.0,14.0,14.0,-50.148007636,-17.0494211397,-49.4890992023,-16.6553504292,0.0,Sim,0.0796,1.0,"(5211701, 5221403)",True,True
42090034210100,42,SC,4209003,Joaçaba,42,SC,4210100,Mafra,Centro Subregional A,Centro Subregional B,31.07,390,0.0,42.0,42.0,-51.5066897333,-27.1739445291,-49.8010375283,-26.1152284944,0.0,Sim,0.0796666666666667,1.0,"(4209003, 4210100)",True,True
23028002303006,23,CE,2302800,Canindé,23,CE,2303006,Caridade,Centro de Zona A,Centro Local,2.0,25,0.0,102.0,102.0,-39.3103429532,-4.35534428981,-39.193032915,-4.2249600004,0.0,Não,0.08,1.0,"(2302800, 2303006)",True,True
25006012507507,25,PB,2500601,Alhandra,25,PB,2507507,João Pessoa,Centro Local,Núcleo de Capital Regional A (João Pessoa),6.0,75,0.0,332.0,332.0,-34.9119851555,-7.43299530249,-34.8733848135,-7.14938202006,0.0,Não,0.08,1.0,"(2500601, 2507507)",True,True
35130093550605,35,SP,3513009,Cotia,35,SP,3550605,São Roque,Integrante de Metrópole (São Paulo),Integrante de Metrópole (São Paulo),4.8,60,0.0,358.0,358.0,-46.9318463279,-23.6035139997,-47.1354230132,-23.5303590004,0.0,Não,0.08,1.0,"(3513009, 3550605)",True,True
33020073303609,33,RJ,3302007,Itaguaí,33,RJ,3303609,Paracambi,Integrante de Metrópole (Rio de Janeiro),Integrante de Metrópole (Rio de Janeiro),7.3,90,0.0,72.0,72.0,-43.7750406346,-22.8712507687,-43.7093845629,-22.6097271623,0.0,Não,0.0811111111111111,1.0,"(3302007, 3303609)",True,True
23042022307601,23,CE,2304202,Crato,23,CE,2307601,Limoeiro do Norte,Núcleo de Capital Regional C (Juazeiro do Norte - Crato - Barbalha),Centro de Zona A,38.95,480,0.0,56.0,56.0,-39.4083902982,-7.23175278966,-38.0990948703,-5.15023902041,0.0,Não,0.0811458333333333,1.0,"(2304202, 2307601)",True,True
23050012306108,23,CE,2305001,Guaraciaba do Norte,23,CE,2306108,Irauçuba,Centro de Zona B,Centro Local,24.35,300,0.0,28.0,28.0,-40.7526331775,-4.16245106756,-39.7922381155,-3.74541880184,0.0,Não,0.0811666666666667,1.0,"(2305001, 2306108)",True,True
35100053534708,35,SP,3510005,Cândido Mota,35,SP,3534708,Ourinhos,Centro Local,Centro Subregional A,6.5,80,0.0,91.0,91.0,-50.3883931715,-22.7469254997,-49.8685798362,-22.9772675001,0.0,Não,0.08125,1.0,"(3510005, 3534708)",True,True
23043012311405,23,CE,2304301,Farias Brito,23,CE,2311405,Quixeramobim,Centro Local,Centro Local,24.4,300,0.0,56.0,56.0,-39.570835021,-6.92710998084,-39.2943542267,-5.19840483771,0.0,Não,0.0813333333333333,1.0,"(2304301, 2311405)",True,True
29270022930501,29,BA,2927002,Rio Real,29,BA,2930501,Serrinha,Centro de Zona B,Centro de Zona A,18.75,230,0.0,12.0,12.0,-37.9335777747,-11.4849354252,-39.0081326288,-11.6595317246,0.0,Não,0.0815217391304348,1.0,"(2927002, 2930501)",True,True
23042022309607,23,CE,2304202,Crato,23,CE,2309607,Pacajus,Núcleo de Capital Regional C (Juazeiro do Norte - Crato - Barbalha),Centro Local,49.1,600,0.0,101.0,101.0,-39.4083902982,-7.23175278966,-38.4670222647,-4.17054050984,0.0,Não,0.0818333333333333,1.0,"(2304202, 2309607)",True,True
23076012311504,23,CE,2307601,Limoeiro do Norte,23,CE,2311504,Quixeré,Centro de Zona A,Centro Local,2.05,25,0.0,42.0,42.0,-38.0990948703,-5.15023902041,-37.9905222252,-5.06872895418,21.0,Não,0.082,1.0,"(2307601, 2311504)",True,True
23043012309607,23,CE,2304301,Farias Brito,23,CE,2309607,Pacajus,Centro Local,Centro Local,44.35,540,0.0,46.0,46.0,-39.570835021,-6.92710998084,-38.4670222647,-4.17054050984,0.0,Não,0.0821296296296296,1.0,"(2304301, 2309607)",True,True
35092053550308,35,SP,3509205,Cajamar,35,SP,3550308,São Paulo,Integrante de Metrópole (São Paulo),Núcleo de Metrópole (São Paulo),4.95,60,0.0,1978.0,1978.0,-46.8829201464,-23.3609713845,-46.5703831822,-23.5673865001,0.0,Não,0.0825,1.0,"(3509205, 3550308)",True,True
23019012307601,23,CE,2301901,Barbalha,23,CE,2307601,Limoeiro do Norte,Núcleo de Capital Regional C (Juazeiro do Norte - Crato - Barbalha),Centro de Zona A,36.85,445,0.0,14.0,14.0,-39.302316369,-7.30717212719,-38.0990948703,-5.15023902041,0.0,Não,0.0828089887640449,1.0,"(2301901, 2307601)",True,True
35111023533908,35,SP,3511102,Catanduva,35,SP,3533908,Olímpia,Centro Subregional A,Centro de Zona A,9.95,120,0.0,13.0,13.0,-48.9758709395,-21.1395385004,-48.9134917258,-20.7372839854,0.0,Não,0.0829166666666667,1.0,"(3511102, 3533908)",True,True
35205093531803,35,SP,3520509,Indaiatuba,35,SP,3531803,Monte Mor,Integrante de Capital Regional A (Campinas),Integrante de Capital Regional A (Campinas),4.15,50,0.0,54.0,54.0,-47.2123089399,-23.0816460004,-47.3132692484,-22.9455219993,0.0,Não,0.083,1.0,"(3520509, 3531803)",True,True
35205093556701,35,SP,3520509,Indaiatuba,35,SP,3556701,Vinhedo,Integrante de Capital Regional A (Campinas),Integrante de Capital Regional A (Campinas),4.15,50,0.0,70.0,70.0,-47.2123089399,-23.0816460004,-46.9764763086,-23.0305383244,0.0,Não,0.083,1.0,"(3520509, 3556701)",True,True
31026053549102,31,MG,3102605,Andradas,35,SP,3549102,São João da Boa Vista,Centro de Zona B,Centro Subregional A,5.0,60,0.0,98.0,98.0,-46.5755830012,-22.0728073439,-46.7963507822,-21.9720109998,0.0,Não,0.0833333333333333,1.0,"(3102605, 3549102)",True,True
